Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
362,2016-01-01 00:02:52,2016-01-01 00:08:54,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3209,Brunswick St,40.7241765,-74.0506564,24647,Subscriber,1964,2
200,2016-01-01 00:18:22,2016-01-01 00:21:42,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3213,Van Vorst Park,40.71848892,-74.047726625,24605,Subscriber,1962,1
202,2016-01-01 00:18:25,2016-01-01 00:21:47,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3213,Van Vorst Park,40.71848892,-74.047726625,24689,Subscriber,1962,2
248,2016-01-01 00:23:13,2016-01-01 00:27:21,3209,Brunswick St,40.7241765,-74.0506564,3203,Hamilton Park,40.727595966,-74.044247311,24693,Subscriber,1984,1
903,2016-01-01 01:03:20,2016-01-01 01:18:24,3195,Sip Ave,40.73074262530658,-74.06378388404846,3210,Pershing Field,40.742677141,-74.051788633,24573,Customer,,0
883,2016-01-01 01:03:28,2016-01-01 01:18:11,3195,Sip Ave,40.73074262530658,-74.06378388404846,3210,Pershing Field,40.742677141,-74.051788633,24442,Customer,,0
445,2016-01-01 01:07:45,2016-01-01 01:15:11,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3203,Hamilton Park,40.727595966,-74.044247311,24510,Subscriber,1988,2
192,2016-01-01 01:18:51,2016-01-01 01:22:03,3211,Newark Ave,40.72152515,-74.046304543,3203,Hamilton Park,40.727595966,-74.044247311,24625,Subscriber,1980,1
409,2016-01-01 01:23:44,2016-01-01 01:30:34,3187,Warren St,40.7211236,-74.03805095,3214,Essex Light Rail,40.7127742,-74.0364857,24429,Subscriber,1990,1
285,2016-01-01 01:25:12,2016-01-01 01:29:57,3187,Warren St,40.7211236,-74.03805095,3214,Essex Light Rail,40.7127742,-74.0364857,24407,Subscriber,1988,2
206,2016-01-01 01:45:34,2016-01-01 01:49:00,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,24377,Subscriber,1993,1
251,2016-01-01 02:02:55,2016-01-01 02:07:06,3213,Van Vorst Park,40.71848892,-74.047726625,3209,Brunswick St,40.7241765,-74.0506564,24605,Subscriber,1976,1
292,2016-01-01 02:20:38,2016-01-01 02:25:30,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3187,Warren St,40.7211236,-74.03805095,24721,Subscriber,1992,1
175,2016-01-01 02:23:37,2016-01-01 02:26:32,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3213,Van Vorst Park,40.71848892,-74.047726625,24601,Subscriber,1991,1
769,2016-01-01 02:28:58,2016-01-01 02:41:47,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3211,Newark Ave,40.72152515,-74.046304543,24606,Subscriber,1968,1
384,2016-01-01 02:39:07,2016-01-01 02:45:32,3209,Brunswick St,40.7241765,-74.0506564,3213,Van Vorst Park,40.71848892,-74.047726625,24470,Subscriber,1975,2
364,2016-01-01 02:39:28,2016-01-01 02:45:33,3209,Brunswick St,40.7241765,-74.0506564,3213,Van Vorst Park,40.71848892,-74.047726625,24542,Subscriber,1976,1
326,2016-01-01 02:47:39,2016-01-01 02:53:05,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3202,Newport PATH,40.7272235,-74.0337589,24716,Subscriber,1992,1
341,2016-01-01 02:53:35,2016-01-01 02:59:17,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3202,Newport PATH,40.7272235,-74.0337589,24687,Subscriber,1982,1
634,2016-01-01 02:54:56,2016-01-01 03:05:30,3194,McGinley Square,40.7253399253558,-74.06762212514877,3209,Brunswick St,40.7241765,-74.0506564,24675,Subscriber,1981,1
331,2016-01-01 03:02:35,2016-01-01 03:08:06,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.727595966,-74.044247311,24687,Subscriber,1982,1
550,2016-01-01 03:10:25,2016-01-01 03:19:36,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,24531,Subscriber,1986,1
988,2016-01-01 03:16:33,2016-01-01 03:33:02,3196,Riverview Park,40.7443187,-74.0439909,3209,Brunswick St,40.7241765,-74.0506564,24662,Customer,,0
969,2016-01-01 03:16:34,2016-01-01 03:32:43,3196,Riverview Park,40.7443187,-74.0439909,3209,Brunswick St,40.7241765,-74.0506564,24563,Subscriber,1984,1
378,2016-01-01 03:17:01,2016-01-01 03:23:19,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.727595966,-74.044247311,24450,Subscriber,1981,1
368,2016-01-01 03:17:13,2016-01-01 03:23:21,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.727595966,-74.044247311,24627,Subscriber,1982,2
287,2016-01-01 03:43:03,2016-01-01 03:47:51,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,24471,Subscriber,1986,1
286,2016-01-01 03:51:30,2016-01-01 03:56:16,3214,Essex Light Rail,40.7127742,-74.0364857,3187,Warren St,40.7211236,-74.03805095,24407,Subscriber,1988,2
539,2016-01-01 04:12:06,2016-01-01 04:21:05,3195,Sip Ave,40.73074262530658,-74.06378388404846,3212,Christ Hospital,40.734785818,-74.050443636,24664,Subscriber,1966,2
