Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
204,2016-12-01 00:33:31,2016-12-01 00:36:55,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,24377,Subscriber,1989,1
606,2016-12-01 00:56:09,2016-12-01 01:06:16,3194,McGinley Square,40.7253399253558,-74.06762212514877,3189,West Side Light Rail,40.714402,-74.0887723,26273,Subscriber,1962,1
185,2016-12-01 01:14:22,2016-12-01 01:17:27,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3205,JC Medical Center,40.71653978099194,-74.0496379137039,24555,Subscriber,1977,1
504,2016-12-01 01:29:52,2016-12-01 01:38:17,3194,McGinley Square,40.7253399253558,-74.06762212514877,3191,Union St,40.7182113,-74.0836394,26186,Subscriber,1954,1
672,2016-12-01 01:47:14,2016-12-01 01:58:27,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3190,Garfield Ave Station,40.7104670233797,-74.07003879547119,26170,Subscriber,1988,1
251,2016-12-01 01:51:50,2016-12-01 01:56:01,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,24673,Subscriber,1986,1
376,2016-12-01 02:53:31,2016-12-01 02:59:47,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3203,Hamilton Park,40.727595966,-74.044247311,24706,Subscriber,1988,1
143,2016-12-01 04:39:35,2016-12-01 04:41:59,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26294,Subscriber,1983,1
439,2016-12-01 05:24:58,2016-12-01 05:32:18,3193,Lincoln Park,40.7246050998869,-74.07840594649315,3195,Sip Ave,40.73074262530658,-74.06378388404846,26308,Subscriber,1967,1
802,2016-12-01 05:32:07,2016-12-01 05:45:30,3207,Oakland Ave,40.7376037,-74.0524783,3185,City Hall,40.7177325,-74.043845,24454,Subscriber,1984,2
471,2016-12-01 05:39:48,2016-12-01 05:47:40,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24583,Subscriber,1986,1
174,2016-12-01 05:48:22,2016-12-01 05:51:17,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,24695,Subscriber,1980,1
156,2016-12-01 05:53:38,2016-12-01 05:56:14,3267,Morris Canal,40.7124188237569,-74.03852552175522,3184,Paulus Hook,40.7141454,-74.0335519,26164,Subscriber,1961,1
284,2016-12-01 05:53:40,2016-12-01 05:58:25,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3185,City Hall,40.7177325,-74.043845,26157,Subscriber,1984,1
278,2016-12-01 05:55:25,2016-12-01 06:00:03,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24613,Subscriber,1989,2
827,2016-12-01 05:56:42,2016-12-01 06:10:29,3194,McGinley Square,40.7253399253558,-74.06762212514877,3183,Exchange Place,40.7162469,-74.0334588,24467,Subscriber,1979,1
249,2016-12-01 05:57:13,2016-12-01 06:01:23,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,24535,Subscriber,1974,1
409,2016-12-01 05:58:13,2016-12-01 06:05:02,3195,Sip Ave,40.73074262530658,-74.06378388404846,3280,Astor Place,40.71928220070702,-74.07126188278198,26308,Subscriber,1964,1
224,2016-12-01 05:58:16,2016-12-01 06:02:01,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24663,Subscriber,1986,2
150,2016-12-01 06:06:08,2016-12-01 06:08:38,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24627,Subscriber,1988,1
130,2016-12-01 06:06:27,2016-12-01 06:08:37,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3211,Newark Ave,40.72152515,-74.046304543,24453,Customer,,0
350,2016-12-01 06:15:22,2016-12-01 06:21:13,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074262530658,-74.06378388404846,26233,Subscriber,1958,1
335,2016-12-01 06:15:52,2016-12-01 06:21:27,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074262530658,-74.06378388404846,24599,Subscriber,1977,1
168,2016-12-01 06:18:18,2016-12-01 06:21:07,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26187,Subscriber,1982,1
190,2016-12-01 06:18:24,2016-12-01 06:21:35,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,26201,Subscriber,1973,1
277,2016-12-01 06:19:24,2016-12-01 06:24:02,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,26258,Subscriber,1991,1
125,2016-12-01 06:22:40,2016-12-01 06:24:45,3213,Van Vorst Park,40.71848892,-74.047726625,3211,Newark Ave,40.72152515,-74.046304543,24568,Subscriber,1989,1
180,2016-12-01 06:23:04,2016-12-01 06:26:05,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24549,Subscriber,1989,2
175,2016-12-01 06:24:42,2016-12-01 06:27:38,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,26294,Subscriber,1991,2
217,2016-12-01 06:24:44,2016-12-01 06:28:22,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074262530658,-74.06378388404846,26223,Subscriber,1986,1
347,2016-12-01 06:24:56,2016-12-01 06:30:44,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3205,JC Medical Center,40.71653978099194,-74.0496379137039,24613,Subscriber,1988,2
469,2016-12-01 06:28:47,2016-12-01 06:36:37,3203,Hamilton Park,40.727595966,-74.044247311,3202,Newport PATH,40.7272235,-74.0337589,24606,Subscriber,1982,1
842,2016-12-01 06:32:22,2016-12-01 06:46:24,3192,Liberty Light Rail,40.7112423,-74.0557013,3209,Brunswick St,40.7241765,-74.0506564,24716,Subscriber,1977,1
248,2016-12-01 06:33:07,2016-12-01 06:37:16,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26312,Subscriber,1978,1
396,2016-12-01 06:33:37,2016-12-01 06:40:14,3267,Morris Canal,40.7124188237569,-74.03852552175522,3202,Newport PATH,40.7272235,-74.0337589,26215,Subscriber,1979,2
557,2016-12-01 06:38:03,2016-12-01 06:47:21,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26180,Subscriber,1959,1
242,2016-12-01 06:38:52,2016-12-01 06:42:55,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24377,Subscriber,1987,2
233,2016-12-01 06:39:43,2016-12-01 06:43:37,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074262530658,-74.06378388404846,26278,Subscriber,1987,1
125,2016-12-01 06:42:50,2016-12-01 06:44:56,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24442,Subscriber,1963,1
206,2016-12-01 06:43:22,2016-12-01 06:46:48,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26224,Subscriber,1989,1
792,2016-12-01 06:45:22,2016-12-01 06:58:34,3203,Hamilton Park,40.727595966,-74.044247311,3184,Paulus Hook,40.7141454,-74.0335519,24575,Subscriber,1977,2
403,2016-12-01 06:46:00,2016-12-01 06:52:43,3281,Leonard Gordon Park,40.74590996631558,-74.0572714805603,3195,Sip Ave,40.73074262530658,-74.06378388404846,26182,Subscriber,1980,1
212,2016-12-01 06:50:05,2016-12-01 06:53:38,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3187,Warren St,40.7211236,-74.03805095,26180,Customer,,0
